NAME,TYPE,LOCATION,
"7f5feb0c-2d0e-5bae-b25b-19ec8f549e20","Application Insights","East US"
"7f5feb0c-2d0e-5bae-b25b-19ec8f549e20","App Service plan","East US"
"7f5feb0c-2d0e-5bae-b25b-19ec8f549e20","App Service","East US"
"Failure Anomalies - 7f5feb0c-2d0e-5bae-b25b-19ec8f549e20","Smart detector alert rule","Global"
"Failure Anomalies - vocsummarizati1371576196","Smart detector alert rule","Global"
"flk-voc-cosmosdb-prod","Azure Cosmos DB account","West US 3"
"pocpbiws","Azure Databricks Service","East US"
"voc-prod-searchservice","Search service","West US 2"
"voc-prodopenai-service","Azure OpenAI","East US 2"
"voc-transcript-prod","App Service","East US"
"vocblobstorageaccount","Storage account","East US 2"
"vocsummarizati1371576196","Application Insights","East US 2"
"vocsummarizati3308578394","Key vault","East US 2"
"vocsummarizati7907719513","Log Analytics workspace","East US 2"
